slug	name_before	name_after	kana_before	kana_after	latin_before	latin_after	status	sources	note
p-s5616a	玉山 成元	玉山 成元		たまやま じょうげん		Tamayama Jogen	verified-update	https://id.ndl.go.jp/auth/ndlna/00080932	既存の人物同定で照合したNDL典拠の読み。
umehara-takeshi	梅原 猛	梅原 猛		うめはら たけし	Takeshi Umehara	Takeshi Umehara	verified-update	https://id.ndl.go.jp/auth/ndlna/00088587	姓名と生年が一致するNDL典拠の読み。
p-12qbr50	都築 埴雅	都築 埴雅					reading-unresolved		確定読みの裏付けを未確認。
p-1cl3ueh	大澤 香	大澤 香		おおざわ かおり		Ozawa Kaori	verified-update	https://id.ndl.go.jp/auth/ndlna/032391601	登録著作と同じ著作を出典とするNDL典拠の読み。
p-1t0p9g6	平賀 エテノア	平賀 エテノア		ひらが えてのあ		Hiraga Etenoa	verified-update	https://id.ndl.go.jp/auth/ndlna/001202349	既存の人物同定で照合したNDL典拠の読み。
simada-kenichi	島田 健一	島田 健一		しまだ けんいち	Ken'ichi Simada	Ken'ichi Simada	verified-update	https://id.ndl.go.jp/auth/ndlna/00184373	既存の人物同定で照合したNDL典拠の読み。
sakitani-mitsuru	崎谷 満	崎谷 満		さきたに みつる	Mitsuru Sakitani	Mitsuru Sakitani	verified-update	https://id.ndl.go.jp/auth/ndlna/01010171	姓名と生年が一致するNDL典拠の読み。
yazaki-haruna	矢崎 春菜	矢崎 春菜			Yazaki Haruna	Yazaki Haruna	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
nihashi-junichi	二橋 潤一	二橋 潤一			Jun'ichi Nihashi	Jun'ichi Nihashi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1epyoxi	杉江 光	杉江 光					reading-unresolved		確定読みの裏付けを未確認。
ishida-hisao	石田 久大	石田 久大			Ishida Hisao	Ishida Hisao	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1r1lqct	川村 久恵	川村 久恵		かわむら ひさえ		Kawamura Hisae	verified-update	https://archive.tonkori.com/news/page/11	本人参加の音楽活動のメンバー紹介。
ishii-masami	石井 正己	石井 正己		いしい まさみ	Masami Ishii	Masami Ishii	verified-update	https://id.ndl.go.jp/auth/ndlna/00657305	姓名と生年が一致するNDL典拠の読み。
p-1lodgy3	長崎 郁	長崎 郁		ながさき いく		Nagasaki Iku	verified-update	https://id.ndl.go.jp/auth/ndlna/001219435	既存の人物同定で照合したNDL典拠の読み。
tanaka-satoko	田中 聖子	田中 聖子		たなか さとこ	Tanaka Satoko	Tanaka Satoko	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=9158&domain=ainu	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
oba-yoshio	大場 四千男	大場 四千男		おおば よしお	Yoshio Ōba	Yoshio Ōba	verified-update	https://id.ndl.go.jp/auth/ndlna/00117391	姓名と生年が一致するNDL典拠の読み。
p-1hvppjg	丸山 隆司	丸山 隆司		まるやま たかし		Maruyama Takashi	verified-update	https://id.ndl.go.jp/auth/ndlna/00857730	既存の人物同定で照合したNDL典拠の読み。
nagao-yuka	長尾 優花	長尾 優花			Nagao Yuka	Nagao Yuka	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-kbsdtj	西﨑 専一	西﨑 専一					reading-unresolved		確定読みの裏付けを未確認。
ishimura-hiroko	石村 博子	石村 博子		いしむら ひろこ	Ishimura Hiroko	Ishimura Hiroko	verified-update	https://id.ndl.go.jp/auth/ndlna/00265411	姓名と生年が一致するNDL典拠の読み。
p-16iqb0n	墨谷 真澄	墨谷 真澄					reading-unresolved		確定読みの裏付けを未確認。
p-19hj4z9	欠ヶ端 和也	欠ヶ端 和也		かけはた かずや		Kakehata Kazuya	verified-update	https://irc.aa.tufs.ac.jp/wp-content/uploads/2022/07/irc_proj_report2021_IRC202107.pdf	本人・所属機関または原著論文の著者表記で確認。
p-1mxux2y	豊岡 喜一郎	豊岡 喜一郎					reading-unresolved		確定読みの裏付けを未確認。
ota-ryu	太田 竜	太田 竜		おおた りゅう	Ryu Ota	Ryu Ota	verified-update	https://id.ndl.go.jp/auth/ndlna/00062933	姓名と生年が一致するNDL典拠の読み。
p-15p4zpg	鈴木 華織	鈴木 華織					reading-unresolved		確定読みの裏付けを未確認。
emori-susumu	榎森 進	榎森 進		えもり すすむ	Emori Susumu	Emori Susumu	verified-update	https://id.ndl.go.jp/auth/ndlna/00130876	既存の人物同定で照合したNDL典拠の読み。
p-f7krcf	成田 得平	成田 得平		なりた とくへい		Narita Tokuhei	verified-update	https://id.ndl.go.jp/auth/ndlna/00149586	既存の人物同定で照合したNDL典拠の読み。
kinoshita-junji	木下 順二	木下 順二		きのした じゅんじ	Junji Kinoshita	Junji Kinoshita	verified-update	https://id.ndl.go.jp/auth/ndlna/00031535	姓名と生年が一致するNDL典拠の読み。
p-1cf44kw	石倉 欣二	石倉 欣二		いしくら きんじ		Ishikura Kinji	verified-update	https://id.ndl.go.jp/auth/ndlna/00119332	既存の人物同定で照合したNDL典拠の読み。
kanaya-eijiro	金谷 栄二郎	金谷 栄二郎		かなや えいじろう	Kanaya Eijirō	Kanaya Eijirō	verified-update	https://id.ndl.go.jp/auth/ndlna/00159800	登録著作と同じ著作を出典とするNDL典拠の読み。
kannari-matsu	金成 まつ	金成 まつ		かんなり まつ	Kannari Matsu	Kannari Matsu	verified-update	https://id.ndl.go.jp/auth/ndlna/00026598	姓名と生年が一致するNDL典拠の読み。
p-q25d75	四宅 ヤエ	四宅 ヤエ		したく やえ	Shitaku, Yae	Shitaku, Yae	verified-update	https://id.ndl.go.jp/auth/ndlna/00143884	姓名と生年が一致するNDL典拠の読み。
p-1iwaxi2	若月 亨	若月 亨		わかつき とおる		Wakatsuki Tooru	verified-update	https://id.ndl.go.jp/auth/ndlna/00350936	既存の人物同定で照合したNDL典拠の読み。
hasuike-etsuko	蓮池 悦子	蓮池 悦子		はすいけ えつこ	Hasuike Etsuko	Hasuike Etsuko	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=12047&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
p-1gunmdd	田澤 守	田澤 守					reading-unresolved		確定読みの裏付けを未確認。
sakurai-yoshihide	櫻井 義秀	櫻井 義秀		さくらい よしひで	Yoshihide Sakurai	Yoshihide Sakurai	verified-update	https://id.ndl.go.jp/auth/ndlna/00899001	姓名と生年が一致するNDL典拠の読み。
fujii-sadakazu	藤井 貞和	藤井 貞和		ふじい さだかず	Sadakazu Fujii	Sadakazu Fujii	verified-update	https://id.ndl.go.jp/auth/ndlna/00015412	姓名と生年が一致するNDL典拠の読み。
p-1nen1vw	島津 礼子	島津 礼子					reading-unresolved		確定読みの裏付けを未確認。
p-tcs8zz	道合 裕基	道合 裕基		どうあい ひろのり		Doai Hironori	verified-update	https://hdl.handle.net/2433/197749	大学リポジトリの和文・カナ・英文著者メタデータ。
p-lc9any	今石 みぎわ	今石 みぎわ		いまいし みぎわ		Imaishi Migiwa	verified-update	https://id.ndl.go.jp/auth/ndlna/001205180	登録著作と同じ著作を出典とするNDL典拠の読み。
yoshinari-naoki	吉成 直樹	吉成 直樹		よしなり なおき	Naoki Yoshinari	Naoki Yoshinari	verified-update	https://id.ndl.go.jp/auth/ndlna/00395365	姓名と生年が一致するNDL典拠の読み。
ogasawara-sayo	小笠原 小夜	小笠原 小夜		おがさわら さよ	Ogasawara Sayo	Ogasawara Sayo	verified-update	https://id.ndl.go.jp/auth/ndlna/031698818	既存の人物同定で照合したNDL典拠の読み。
kawakami-yuji	川上 勇治	川上 勇治		かわかみ ゆうじ	Kawakami Yūji	Kawakami Yūji	verified-update	https://id.ndl.go.jp/auth/ndlna/00029165	既存の人物同定で照合したNDL典拠の読み。
p-9d1qfm	はまおか のりこ	はまおか のりこ		はまおか のりこ		Hamaoka Noriko	verified-update	https://id.ndl.go.jp/auth/ndlna/00670792	既存の人物同定で照合したNDL典拠の読み。
sunazawa-kura	砂沢 クラ	砂沢 クラ		すなざわ くら	Kura Sunazawa	Kura Sunazawa	verified-update	https://id.ndl.go.jp/auth/ndlna/00136218	姓名と生年が一致するNDL典拠の読み。
ryo-michiko	寮 美千子	寮 美千子		りょう みちこ	Michiko Ryō	Michiko Ryō	verified-update	https://id.ndl.go.jp/auth/ndlna/00189412	姓名と生年が一致するNDL典拠の読み。
suzuki-ryuichi	鈴木 隆一	鈴木 隆一		すずき りゅういち	Suzuki Ryūichi	Suzuki Ryūichi	verified-update	https://id.ndl.go.jp/auth/ndlna/00909324	既存の人物同定で照合したNDL典拠の読み。
p-1qsdo77	二谷 国松	二谷 国松		にたに くにまつ		Nitani Kunimatsu	verified-update	https://id.ndl.go.jp/auth/ndlna/001202351	既存の人物同定で照合したNDL典拠の読み。
takashima-yoko	高島 葉子	高島 葉子			Yōko Takashima	Yōko Takashima	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-kjevsf	高野 繁廣	高野 繁廣		たかの しげひろ		Takano Shigehiro	verified-update	https://web-ic.fukoku-life.co.jp/japan-vision/081.html	本人取材記事のプロフィール。
p-1vg5icr	西島 てる	西島 てる					reading-unresolved		確定読みの裏付けを未確認。
takahashi-nori	高橋 規	高橋 規			Takahashi Nori	Takahashi Nori	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
anetai-masaki	姉帯 正樹	姉帯 正樹			Anetai Masaki	Anetai Masaki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-zxb1g8	若林 和夫	若林 和夫					reading-unresolved		確定読みの裏付けを未確認。
nojiri-hoei	野尻 抱影	野尻 抱影		のじり ほうえい	Hōei Nojiri	Hōei Nojiri	verified-update	https://id.ndl.go.jp/auth/ndlna/00056925	姓名と生年が一致するNDL典拠の読み。
p-79rn4z	北尾 浩一	北尾 浩一		きたお こういち		Kitao Koichi	verified-update	https://id.ndl.go.jp/auth/ndlna/00214876	既存の人物同定で照合したNDL典拠の読み。
p-15p7dwk	鈴木 邦輝	鈴木 邦輝		すずき くにてる		Suzuki Kuniteru	verified-update	https://id.ndl.go.jp/auth/ndlna/00107254	既存の人物同定で照合したNDL典拠の読み。
ito-hiromitsu	伊藤 裕満	伊藤 裕満		いとう ひろみつ	Itō Hiromitsu	Itō Hiromitsu	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=8339&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
mae-masanao	前 正七生	前 正七生			Mae Masanao	Mae Masanao	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
muraki-miyuki	村木 美幸	村木 美幸			Muraki Miyuki	Muraki Miyuki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-11firet	若園 雄志郎	若園 雄志郎		わかぞの ゆうしろう		Wakazono Yushiro	verified-update	https://researcher.utsunomiya-u.ac.jp/html/100003537_ja.html	大学研究者総覧のカナ・英語姓名。
inaba-katsuo	因幡 勝雄	因幡 勝雄		いなば かつお	Inaba Katsuo	Inaba Katsuo	verified-update	https://id.ndl.go.jp/auth/ndlna/00324985	既存の人物同定で照合したNDL典拠の読み。
kido-shirabe	木戸 調	木戸 調			Kido Shirabe	Kido Shirabe	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1cy2d4k	小川 広	小川 広					reading-unresolved		確定読みの裏付けを未確認。
p-1i361g2	小柳 誠之	小柳 誠之					reading-unresolved		確定読みの裏付けを未確認。
p-11o400v	杉山 泰子	杉山 泰子					reading-unresolved		確定読みの裏付けを未確認。
p-3kz7ca	南 収	南 収					reading-unresolved		確定読みの裏付けを未確認。
sekine-tatsuhito	関根 達人	関根 達人		せきね たつひと	Sekine Tatsuhito	Sekine Tatsuhito	verified-update	https://id.ndl.go.jp/auth/ndlna/00911260	既存の人物同定で照合したNDL典拠の読み。
p-1vdwlmy	青木 愛子	青木 愛子		あおき あいこ		Aoki Aiko	verified-update	https://id.ndl.go.jp/auth/ndlna/00136781	既存の人物同定で照合したNDL典拠の読み。
p-1llynl7	長井 博	長井 博		ながい ひろし		Nagai Hiroshi	verified-update	https://id.ndl.go.jp/auth/ndlna/00137684	既存の人物同定で照合したNDL典拠の読み。
p-1bj2gjr	前沢 卓	前沢 卓		まえさわ たか		Maesawa Taka	verified-update	https://id.ndl.go.jp/auth/ndlna/001205893	既存の人物同定で照合したNDL典拠の読み。
sato-naotaro	佐藤 直太郎	佐藤 直太郎		さとう なおたろう	Satō Naotarō	Satō Naotarō	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=2940&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
p-e80k7j	千葉 伸彦	千葉 伸彦		ちば のぶひこ		Chiba Nobuhiko	verified-update	https://www.tokyo-ondai.ac.jp/features/lesson_j-pop/13434.php	所属大学のトンコリ講師紹介。福祉研究者の同姓同名人物とは区別。
p-smb1hw	能登 千織	能登 千織		のと ちおり		Noto Chiori	verified-update	https://ci.nii.ac.jp/author/DA18530558	本人・所属機関または原著論文の著者表記で確認。
p-mhjk5r	白老町 (北海道)	白老町 (北海道)					reading-unresolved		確定読みの裏付けを未確認。
p-7gxsyg	北嶋 由紀	北嶋 由紀		きたじま ゆき		Kitajima Yuki	verified-update	https://www.jstage.jst.go.jp/article/namjournal/2023/2/2023_2023-5/_pdf	本人・所属機関または原著論文の著者表記で確認。
p-1babm4k	兼俊明夫	兼俊明夫					reading-unresolved		確定読みの裏付けを未確認。
kimura-makoto	木村 純	木村 純	きむら まこと	きむら まこと	Kimura Makoto	Kimura Makoto	existing-kana		既存のかなを保持。
fukuoka-itoko	福岡 イト子	福岡 イト子		ふくおか いとこ	Fukuoka Itoko	Fukuoka Itoko	verified-update	https://id.ndl.go.jp/auth/ndlna/00412449	既存の人物同定で照合したNDL典拠の読み。
uchida-junko	内田 順子	内田 順子		うちだ じゅんこ	Uchida Junko	Uchida Junko	verified-update	https://id.ndl.go.jp/auth/ndlna/00805320	既存の人物同定で照合したNDL典拠の読み。
p-17ykr4g	蓑島 栄紀	蓑島 栄紀		みのしま ひでき		Minoshima Hideki	verified-update	https://id.ndl.go.jp/auth/ndlna/00864627	既存の人物同定で照合したNDL典拠の読み。
segawa-takuro	瀬川 拓郎	瀬川 拓郎		せがわ たくろう	Takurō Segawa	Takurō Segawa	verified-update	https://id.ndl.go.jp/auth/ndlna/01026274	姓名と生年が一致するNDL典拠の読み。
p-125jcv5	野崎 剛毅	野崎 剛毅		のざき よしき		Nozaki Yoshiki	verified-update	https://www.hanmoto.com/bd/isbn/9784832967939	出版社提供の著者紹介で確認。
p-xgwq0d	保健体育専攻音楽分野	保健体育専攻音楽分野					reading-unresolved		確定読みの裏付けを未確認。
august-pfizmaier	August Pfizmaier	August Pfizmaier			August Pfizmaier	August Pfizmaier	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
hidezo-yamada	山田 秀三	山田 秀三		やまだ ひでぞう	Hidezō Yamada	Hidezō Yamada	verified-update	https://id.ndl.go.jp/auth/ndlna/00091892	姓名と生年が一致するNDL典拠の読み。
shichiro-murayama	村山 七郎	村山 七郎		むらやま しちろう	Shichirō Murayama	Shichirō Murayama	verified-update	https://id.ndl.go.jp/auth/ndlna/00049202	姓名と生年が一致するNDL典拠の読み。
waseda-daigaku-gogaku-kyoiku-kenkyujo	Waseda Daigaku. Gogaku Kyōiku Kenkyūjo	Waseda Daigaku. Gogaku Kyōiku Kenkyūjo			Waseda Daigaku. Gogaku Kyōiku Kenkyūjo	Waseda Daigaku. Gogaku Kyōiku Kenkyūjo	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
genzo-sarashina	更科 源蔵	更科 源蔵		さらしな げんぞう	Genzō Sarashina	Genzō Sarashina	verified-update	https://id.ndl.go.jp/auth/ndlna/00067147	姓名と生年が一致するNDL典拠の読み。
p-1r1qwie	川村 正一	川村 正一		かわむら しょういち		Kawamura Shoichi	verified-update	https://id.ndl.go.jp/auth/ndlna/00896498	登録著作と同じ著作を出典とするNDL典拠の読み。
fukuda-kichijiro	福田 吉次郎	福田 吉次郎		ふくだ きちじろう	Fukuda Kichijirō	Fukuda Kichijirō	verified-update	https://id.ndl.go.jp/auth/ndlna/00216783	既存の人物同定で照合したNDL典拠の読み。
yuasa-tadashi	湯淺 正	湯淺 正		ゆあさ ただし	Yuasa Tadashi	Yuasa Tadashi	verified-update	https://id.ndl.go.jp/auth/ndlna/00730346	登録著作と同じ著作を出典とするNDL典拠の読み。
notoya-enkichi	能登屋 円吉	能登屋 円吉		のとや えんきち	Notoya Enkichi	Notoya Enkichi	verified-update	https://id.ndl.go.jp/auth/ndlna/00746396	登録著作と同じ著作を出典とするNDL典拠の読み。
ohguri-hiroshi	大栗 裕	大栗 裕		おおぐり ひろし	Hiroshi Ohguri	Hiroshi Ohguri	verified-update	https://id.ndl.go.jp/auth/ndlna/01058651	姓名と生年が一致するNDL典拠の読み。
p-1gpzz1i	畑佐 満	畑佐 満		はたさ みつる		Hatasa Mitsuru	verified-update	https://id.ndl.go.jp/auth/ndlna/01032256	登録著作と同じ著作を出典とするNDL典拠の読み。
p-1to67i7	佐藤 忠悦	佐藤 忠悦		さとう ちゅうえつ		Sato Chuetsu	verified-update	https://id.ndl.go.jp/auth/ndlna/00899899	既存の人物同定で照合したNDL典拠の読み。
akasaka-norio	赤坂 憲雄	赤坂 憲雄		あかさか のりお	Norio Akasaka	Norio Akasaka	verified-update	https://id.ndl.go.jp/auth/ndlna/00159066	姓名と生年が一致するNDL典拠の読み。
kato-tetsusaburo	加藤 鉄三郎	加藤 鉄三郎		かとう てつさぶろう	Katō Tetsusaburō	Katō Tetsusaburō	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=17968&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
p-1fjb2l0	池田 実	池田 実		いけだ みのる		Ikeda Minoru	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=6228&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。 確認されたカナをヘボン式に転写。
fukuda-tomoyuki	福田 友之	福田 友之		ふくだ ともゆき	Fukuda Tomoyuki	Fukuda Tomoyuki	verified-update	https://id.ndl.go.jp/auth/ndlna/01142584	既存の人物同定で照合したNDL典拠の読み。
ono-susumu	大野 晋	大野 晋		おおの すすむ	Susumu Ōno	Susumu Ōno	verified-update	https://id.ndl.go.jp/auth/ndlna/00061836	姓名と生年が一致するNDL典拠の読み。
akiba-minoru	秋葉 實	秋葉 實		あきば みのる	Minoru Akiba	Minoru Akiba	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=8975&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
uchida-minoru	内田 実	内田 実		うちだ みのる	Uchida Minoru	Uchida Minoru	verified-update	https://id.ndl.go.jp/auth/ndlna/00552930	既存の人物同定で照合したNDL典拠の読み。
p-14d41fh	堺谷 美香	堺谷 美香		さかいや みか		Sakaiya Mika	verified-update	https://sapporo-u.repo.nii.ac.jp/records/4590	本人・所属機関または原著論文の著者表記で確認。
p-165tq3u	春木 まり子	春木 まり子		はるき まりこ		Haruki Mariko	verified-update	https://sapporo-u.repo.nii.ac.jp/records/4590	本人・所属機関または原著論文の著者表記で確認。
yamanaka-jota	山中 襄太	山中 襄太		やまなか じょうた	Jōta Yamanaka	Jōta Yamanaka	verified-update	https://id.ndl.go.jp/auth/ndlna/00093955	姓名と生年が一致するNDL典拠の読み。
p-12ak29f	高野 三代作	高野 三代作					reading-unresolved		確定読みの裏付けを未確認。
murakami-keiji	村上 啓司	村上 啓司			Murakami Keiji	Murakami Keiji	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
watanabe-shigeru	渡辺 茂	渡辺 茂		わたなべ しげる	Watanabe Shigeru	Watanabe Shigeru	verified-update	https://id.ndl.go.jp/auth/ndlna/00091030	既存の人物同定で照合したNDL典拠の読み。
akagi-sanpei	赤木 三兵	赤木 三兵		あかぎ さんぺい	Akagi Sanpei	Akagi Sanpei	verified-update	https://id.ndl.go.jp/auth/ndlna/00000892	既存の人物同定で照合したNDL典拠の読み。
kita-sadakichi	喜田 貞吉	喜田 貞吉		きた さだきち	Sadakichi Kita	Sadakichi Kita	verified-update	https://id.ndl.go.jp/auth/ndlna/00030338	姓名と生年が一致するNDL典拠の読み。
sonota-yoshio	其田 良雄	其田 良雄		そのだ よしお	Sonota Yoshio	Sonoda Yoshio	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=5016&domain=ainu	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。 NDL典拠のソノダとも一致。既存のSonotaを訂正。
p-1fmpqxw	上原 正道	上原 正道		うえはら まさみち		Uehara Masamichi	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=906&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。 確認されたカナをヘボン式に転写。
todome-seiji	留目 政治	留目 政治			Todome Seiji	Todome Seiji	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
sakurai-kiyohiko	桜井 清彦	桜井 清彦		さくらい きよひこ	Kiyohiko Sakurai	Kiyohiko Sakurai	verified-update	https://id.ndl.go.jp/auth/ndlna/00066695	姓名と生年が一致するNDL典拠の読み。
shinmura-izuru	新村 出	新村 出		しんむら いずる	Shinmura Izuru	Shinmura Izuru	verified-update	https://id.ndl.go.jp/auth/ndlna/00072302	姓名と生年が一致するNDL典拠の読み。
kiyono-kenji	清野 謙次	清野 謙次		きよの けんじ	Kenji Kiyono	Kenji Kiyono	verified-update	https://id.ndl.go.jp/auth/ndlna/00032730	姓名と生年が一致するNDL典拠の読み。
p-3u7nms	袖上生	袖上生					reading-unresolved		確定読みの裏付けを未確認。
matsui-tsuneyuki	松井 恒幸	松井 恒幸		まつい つねゆき	Matsui Tsuneyuki	Matsui Tsuneyuki	verified-update	https://id.ndl.go.jp/auth/ndlna/00103410	既存の人物同定で照合したNDL典拠の読み。
nakajima-riichiro	中島 利一郎	中島 利一郎		なかじま りいちろう	Riichirō Nakajima	Riichirō Nakajima	verified-update	https://id.ndl.go.jp/auth/ndlna/00053482	姓名と生年が一致するNDL典拠の読み。
matsuura-takeshiro	松浦 武四郎	松浦 武四郎		まつうら たけしろう	Matsuura Takeshirō	Matsuura Takeshirō	verified-update	https://id.ndl.go.jp/auth/ndlna/00270793	姓名と生年が一致するNDL典拠の読み。
fujii-naoharu	藤井 尚治	藤井 尚治		ふじい なおはる	Naoharu Fujii	Naoharu Fujii	verified-update	https://id.ndl.go.jp/auth/ndlna/00015387	姓名と生年が一致するNDL典拠の読み。
p-1r6enj9	岡部 方幾	岡部 方幾					reading-unresolved		確定読みの裏付けを未確認。
oni-haruto	鬼 春人	鬼 春人			Oni Haruto	Oni Haruto	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kishimoto-suigetsu	岸本 翠月	岸本 翠月		きしもと すいげつ	Kishimoto Suigetsu	Kishimoto Suigetsu	verified-update	https://id.ndl.go.jp/auth/ndlna/00031847	既存の人物同定で照合したNDL典拠の読み。
yoshihara-katsumi	吉原 克己	吉原 克己			Yoshihara Katsumi	Yoshihara Katsumi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1b9d5u9	鏡味 完二	鏡味 完二		かがみ かんじ		Kagami Kanji	verified-update	https://id.ndl.go.jp/auth/ndlna/00024693	姓名と生年が一致するNDL典拠の読み。
p-1pw3zjc	伊藤 初太郎	伊藤 初太郎					reading-unresolved		確定読みの裏付けを未確認。
p-1q8kgfm	帝国学士院	帝国学士院					reading-unresolved		確定読みの裏付けを未確認。
toru-asai	浅井 亨	浅井 亨		あさい とおる	Tōru Asai	Tōru Asai	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=5430&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
tjeerd-de-graaf	Tjeerd de Graaf	Tjeerd de Graaf			Tjeerd de Graaf	Tjeerd de Graaf	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
p-1e99429	東 俊佑	東 俊佑		あずま しゅんすけ		Azuma Shunsuke	verified-update	https://www.hm.pref.hokkaido.lg.jp/study/staff/	所属博物館のAZUMA Shunsuke表記から転写。
kato-masaru	加藤克	加藤克		かとう まさる	Katō Masaru	Katō Masaru	verified-update	https://id.ndl.go.jp/auth/ndlna/001118815	既存の人物同定で照合したNDL典拠の読み。
kaizawa-toru	貝澤徹	貝澤徹			Toru Kaizawa	Toru Kaizawa	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
mizushima-miki	水島未記	水島未記			Mizushima Miki	Mizushima Miki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
amano-tetsuya	天野 哲也	天野 哲也		あまの てつや	Tetsuya Amano	Tetsuya Amano	verified-update	https://id.ndl.go.jp/auth/ndlna/00934294	姓名と生年が一致するNDL典拠の読み。
saito-hiroyuki	斎藤博之	斎藤博之		さいとう ひろゆき	Saitō Hiroyuki	Saitō Hiroyuki	verified-update	https://id.ndl.go.jp/auth/ndlna/00064962	姓名と生年が一致するNDL典拠の読み。
nishiyama-shimako	西山 史真子	西山 史真子		にしやま しまこ	Nishiyama Shimako	Nishiyama Shimako	verified-update	https://id.ndl.go.jp/auth/ndlna/00533241	既存の人物同定で照合したNDL典拠の読み。
sasaki-kan	佐々木 冠	佐々木 冠		ささき かん	Kan Sasaki	Kan Sasaki	verified-update	https://id.ndl.go.jp/auth/ndlna/00934228	姓名と生年が一致するNDL典拠の読み。
p-187swy5	Осипова Марина Викторовна	Осипова Марина Викторовна			Осипова Марина Викторовна	Осипова Марина Викторовна	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
p-6yv07m	Гафорова Тахмина Сатторовна	Гафорова Тахмина Сатторовна			Гафорова Тахмина Сатторовна	Гафорова Тахмина Сатторовна	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
p-z77k06	Хакимов Насим Саъдуллоевич	Хакимов Насим Саъдуллоевич			Хакимов Насим Саъдуллоевич	Хакимов Насим Саъдуллоевич	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
p-1y2rjz2	Валиев Джамшед Абдурасулович	Валиев Джамшед Абдурасулович			Валиев Джамшед Абдурасулович	Валиев Джамшед Абдурасулович	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
p-h6ymt5	Каримова Шарифхуджа	Каримова Шарифхуджа			Каримова Шарифхуджа	Каримова Шарифхуджа	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
p-bywmz3	Имамбердиева Саломат Менгликуловна	Имамбердиева Саломат Менгликуловна			Имамбердиева Саломат Менгликуловна	Имамбердиева Саломат Менгликуловна	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
p-9v6b8s	Мирниёзов А. К.	Мирниёзов А. К.			Мирниёзов А. К.	Мирниёзов А. К.	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
george-john-simeon	George John Simeon	George John Simeon			George John Simeon	George John Simeon	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
sato-genrokuro	佐藤 玄六郎	佐藤 玄六郎			Satō Genrokurō	Satō Genrokurō	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
